标题,最后更新
实达集团这个股票还不错，推荐一下 (个人看法，,01-13 23:45
20190113写在实达与新疆：首先反思三个问题再判,01-13 21:49
实达不是几个涨停的问题，而是翻多少倍的问题！,01-13 18:55
牛股都是在不经意间产生，以我15年的炒股经验，,01-13 17:20
身兼5g.创投和国产替代的600734能不能走出格局,01-13 06:36
［置顶］同意实达集团下周一高开高走冲击涨停板,01-13 05:01
实达集团集众多优秀题材于一体，不仅披上了华丽,01-12 22:58
漂亮！实达集团今天再次涨停，文博收获二连板！,01-12 13:19
实达集团，5G加创投，二连板。虽然只是二连板，,01-11 12:44
［置顶］实达集团本轮会有18个涨停板吗？安卓系,01-11 11:07
早盘5G补涨龙头竞选:宜安科技，汇源通讯，实达,01-11 10:16
［置顶］实达集团将超越东方通信，进入主升浪行,01-10 19:23
盘前牛股推荐,01-09 15:00
往远看，收购兴飞，东方拓宇，中科融通那么多公,01-07 11:54
妖接力：600776的接力者神似是600734,01-06 22:39
我为什么死守实达！ 1.定增股东18个亿成本价8元,01-06 15:46
600734 静待其变 .以观后效,01-06 13:48
别激动，尾盘跳水解析,01-04 21:11
" 金融界论坛上顶级高手",01-03 13:25
技术开始走坏，公司消息也不利于该股上攻，加上,12-24 21:30
这两天的K线图像不像11月21日和22日这两天的K线,12-24 12:45
主力操盘手厉害，定会帮助你洗出去。,12-17 14:15
" 实达集团被20年均线支撑",12-15 23:00
" 增长速度最快，就是物联网。",12-15 21:41
农村来的害死大家了，昨天说该股最少会跌4%，叫,12-15 20:55
" 下周开始暴跌，信不信你说了算。",12-15 15:36
由于昨天5G回踩，该股跟着回踩也算正常。从5G走,12-14 12:17
业绩为王，价值为王，此股业绩不错，5G业务将夯,12-14 08:26
筑底平台已经演变成多头趋势,12-13 15:46
" 公司技术强大，已经走进全球。",12-13 15:42
" 小人还会攻击人，很少看见。",12-12 17:33
" 大家要想战胜主力，必须要坚持到底。",12-12 13:54
拐头向上，值得期待。,12-12 12:44
" 站住半年线，均线多头上攻。",12-11 15:23
不看不知道，一看吓一跳,11-22 09:26
网传公司与俄罗斯相关公司开发国产替代安卓软件,11-21 18:17
特大利好来！,11-21 18:16
" 谷歌概念之实达集团：联欧联俄抗美第一股！ 谷",11-21 18:16
网传公司在深圳前海投资了一家商业保理有限公司,11-21 18:15
想知道实达集团退出旭航网络投资为啥没有公告,11-18 07:35
哈哈点赞置顶：每股净资产几角的时侯你能拉到二,11-08 07:11
Jolla Sailfish旗鱼OS 3.0正式发布 IT之家13小,11-07 08:47
周末有空，给各位还在坚守的股友点信心，欢迎各,10-17 09:28
董秘回复重大利好,10-11 16:41
速度卖，这垃圾,10-11 13:44
深圳兴飞光手机一项每年交付2000万台，保守估计,10-11 09:08
实达中报业绩预告扣非后净利润才三千万元多，支,10-08 07:37
实达集团，最新出炉的安卓国产替代超跌股,09-30 19:54
" 鱼旗系统涨得将让你怀疑人生！ 三个子公司，每",09-26 23:21
" 国产替代软件+子弹短信= 实达集团",09-26 23:21
实达集团有黑科技啊，国产替代概念，开发旗鱼系,09-25 17:11
那么多公告：我感觉偏利空，下周一起码跌3个点,09-15 12:39
前几日6.99买入，熬了几天，昨日涨停板7.52卖出,09-07 21:01
" 子弹短信 国产替代 实达电脑",09-05 07:03
" 主力可以拉了吧，我都清仓了。破6.8再来。",09-03 10:11
新丁报道——,08-21 20:33
还是实达坚挺，希望不要闪崩,08-16 22:23
美元狂奔升值：4只美元升值龙头：要发大了？！,08-15 20:55
" 美元狂奔升值：实达，通源，晓程，新疆浩源受益",08-15 14:30
前的金秋结硕果改名叫有价值才投资，与锂业印钞,08-11 15:26
董秘您好，请问贵公司出口外销业务占比多少？是,08-11 11:53
600734:实达集团关于收到政府补助的公告,08-11 09:24
现金支付能力遭质疑 标的资产盈利不稳定 实达集,08-10 20:48
实达集团（600734）龙虎榜数据（08-09）,08-10 13:25
【龙虎榜】人民中路等席位合力主导涨停，后市会,08-10 11:47
600734:实达集团:中科融通物联科技无锡有限公司,08-09 15:21
来这股的，都是被俄罗软件操作系统骗进来的吧,08-08 12:19
7股升势: 实达集团福建水泥 金一文化 远方信息,08-07 22:11
[好困惑]都别瞎猜猜了，远望谷停牌几个月出来，,08-06 16:42
600734:实达集团2018年半年度业绩预增公告,08-06 16:40
实达96年上市发行价7块多，2018年股价6.53，就,08-06 13:34
要跑的就跑不要等反弹，套牢的就放着别动了，总,08-05 20:29
启动新一轮行情,08-03 12:18
实达集团：上半年盈利9859万元 同比增88.84%,07-30 22:46
" 技术面、资金面、政策面、都支持该股走强。",07-21 12:12
胡说八道、一窍不通、身败名裂的必将腾飞。,07-16 10:09
实达集团直线涨停,07-10 15:00
标题,最后更新
早上冲这么多次上不去就卖了 有点垃圾哦,11-12 13:23
周一跌停接货了[摊手],11-12 10:32
送买进必胜600734实达集团，因非常看好，所以重,08-03 15:16
" 把公司的意图给曝光掉，这说的中国手机厂商肯定",08-03 12:21
实达集团：联欧联俄抗美第一股！ 日内总龙头实,08-03 12:18
实达集团与软通智慧达成战略合作 共谋智慧城市,08-03 12:18
全面分析实达集团的年中报告 关键词，业绩预增,08-03 02:47
再度分析实达集团未来走势 昨天实达集团发布业,07-31 22:55
600734:实达集团2018年半年度报告摘要,07-31 22:23
注意，K线大师盘感，今天下午2点左右要发飙了。,07-31 15:18
本想见好就收，看今天的成交量怀疑是庄在走货，,07-29 19:05
实达中报业绩预告扣非后净利润才三千万元多，支,07-27 23:05
据资料显示旗鱼系统为俄罗斯政府替代安卓系统的,07-27 12:38
三大妖股：福日，圣阳，实达股价空间,07-27 10:30
" 今天量能比较大多空分歧比较大，今天一直在关注",07-26 17:38
[怒][怒][怒][怒][怒][怒] 实达集团：5000亿美,07-26 01:23
天量阳线，无人接盘？？？,07-25 21:19
不说替代，也不说安防物联网,07-25 00:09
实达集团半年报净利预增50%到76%,07-24 21:48
明天继续涨停,07-24 20:22
实达集团（600734）龙虎榜数据（07-23）,07-24 16:26
